Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 568.436;   8.634;   1.417;     363
Sjælland; 209.570;   2.492;     584;     127
Syddanmark; 283.024;   1.368;     264;      35
Midtjylland; 353.202;   2.985;     359;      71
Nordjylland; 158.430;     775;     151;      27
I alt i Danmark;1.572.662;  16.254;   2.775;     623
