Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden; 490.897;   8.160;   1.402;     363
Sjælland; 178.469;   2.379;     575;     127
Syddanmark; 229.726;   1.204;     261;      35
Midtjylland; 260.544;   2.341;     340;      70
Nordjylland; 131.525;     673;     142;      26
I alt i Danmark;1.291.161;  14.757;   2.720;     621
