"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1834,85,1644,105,2,0,47473
"Aomori","青森県",35,2,32,1,0,0,2153
"Iwate","岩手県",23,5,18,0,0,0,3458
"Miyagi","宮城県",249,43,204,2,0,0,8369
"Akita","秋田県",50,3,47,0,0,0,1841
"Yamagata","山形県",78,2,76,1,1,1,3133
"Fukushima","福島県",184,50,134,0,2,0,16069
"Ibaraki","茨城県",588,56,518,14,3,0,11350
"Tochigi","栃木県",316,18,299,1,1,2,24434
"Gunma","群馬県",497,70,403,19,0,5,16123
"Saitama","埼玉県",4148,352,3701,95,10,0,119096
"Chiba","千葉県",3258,294,2900,64,8,0,60485
"Tokyo","東京都",22019,2201,19440,378,21,0,360918
"Kanagawa","神奈川県",5523,589,4808,126,30,0,125034
"Niigata","新潟県",146,6,140,0,1,0,13473
"Toyama","富山県",407,31,354,25,1,3,10437
"Ishikawa","石川県",712,111,562,39,2,0,9728
"Fukui","福井県",244,53,181,8,5,2,8967
"Yamanashi","山梨県",178,10,163,5,1,0,9851
"Nagano","長野県",292,39,258,1,0,6,16526
"Gifu","岐阜県",566,18,538,10,2,0,19111
"Shizuoka","静岡県",494,26,467,1,2,0,27924
"Aichi","愛知県",4719,489,4156,74,15,0,59105
"Mie","三重県",435,83,349,3,2,0,10665
"Shiga","滋賀県",465,44,414,7,2,0,10102
"Kyoto","京都府",1583,148,1410,25,3,0,34296
"Osaka","大阪府",9169,832,8162,168,44,7,149366
"Hyogo","兵庫県",2360,113,2193,54,10,0,47485
"Nara","奈良県",539,36,495,8,2,0,15262
"Wakayama","和歌山県",235,3,225,4,0,3,8816
"Tottori","鳥取県",22,0,22,0,0,0,4592
"Shimane","島根県",137,0,137,0,0,0,5027
"Okayama","岡山県",146,4,141,"-","-",1,7049
"Hiroshima","広島県",460,10,447,3,0,0,18408
"Yamaguchi","山口県",184,55,129,0,1,0,7349
"Tokushima","徳島県",146,57,81,6,3,2,6389
"Kagawa","香川県",85,10,73,2,0,0,8883
"Ehime","愛媛県",114,1,107,6,0,0,3884
"Kochi","高知県",134,6,123,3,1,2,3234
"Fukuoka","福岡県",4834,696,4067,71,19,0,43293
"Saga","佐賀県",242,8,234,0,0,0,5310
"Nagasaki","長崎県",234,19,208,3,0,4,15654
"Kumamoto","熊本県",551,50,484,8,0,9,12359
"Oita","大分県",157,18,137,2,0,0,13756
"Miyazaki","宮崎県",339,18,321,1,0,1,8198
"Kagoshima","鹿児島県",371,36,324,11,1,0,16769
"Okinawa","沖縄県",2238,298,1906,38,7,4,26337
